iso3_country,start_time,end_time,original_inventory_sector,gas,location,total_emission,year
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-transport,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-transport,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,oil-and-gas-transport,co2e_20yr,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-applied-to-soils,n2o,Eastern Cape,12.7532754460346,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-applied-to-soils,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-applied-to-soils,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,manure-applied-to-soils,co2e_20yr,Eastern Cape,3481.64419676745,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,crop-residues,n2o,Eastern Cape,43.7762822016099,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,crop-residues,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,crop-residues,ch4,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,crop-residues,co2e_20yr,Eastern Cape,11950.9250410395,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-wastewater-treatment-and-discharge,n2o,Eastern Cape,97.6045819246226,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-wastewater-treatment-and-discharge,co2,Eastern Cape,0,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-wastewater-treatment-and-discharge,ch4,Eastern Cape,1152.47611390077,2022
ZAF,2022-01-01T00:00:00Z,2022-01-31T00:00:00Z,domestic-wastewater-treatment-and-discharge,co2e_20yr,Eastern Cape,118255.265846942,2022
